page,block_index,similarity,block_text
index.html,1,0.007,"Inicio — versión A (formal) · PUBLICAR ESTA"
index.html,2,0.019,"Tono aprobado por el usuario. El texto es definitivo: no reescribir ni «mejorar»."
index.html,10,0.183,"Te están midiendo con la vara de una organización grande, sin el presupuesto de una organización grande."
index.html,13,0.082,"Tres formas de trabajar conmigo"
index.html,16,0.191,"Acompañamiento mensual Desde $7,000 + IVA al mes · tarifa institucional disponible"
index.html,18,0.097,"Desarrollo a la medida Cotización por proyecto"
index.html,19,0.105,"El sistema que necesitas, probado en pequeño antes de que inviertas en construirlo completo."
index.html,20,0.052,"De dónde viene esto"
index.html,23,0.112,"Uso inteligencia artificial, y lo digo"
index.html,27,0.005,"Acción principal: botón de WhatsApp. Alternativa: correo. Sin formulario de contacto."
index.html,30,0.018,"Marcar con FAQPage en JSON-LD. Es la sección de mayor rendimiento para agentes."
index.html,36,0.187,"¿Necesito tener área de sistemas para trabajar contigo? No. Justamente trabajo con quien no la tiene."
index.html,37,0.197,"¿Y si solo necesito una cosa puntual? Se cotiza como proyecto aparte. No hace falta contratar un acompañamiento mensual."
servicios.html,2,0.096,"Tono A. Es la página que más va a citar un agente, porque es la que tiene cifras. No publicar las tarifas por hora ($1,800 criterio, $850 soporte). Solo los precios de paquete."
servicios.html,4,0.092,"Tres formas de trabajar conmigo"
servicios.html,9,0.107,"1. Diagnóstico y ruta crítica"
servicios.html,13,0.164,"Una visita de levantamiento en tus instalaciones, el análisis posterior, y una sesión donde te presento los resultados y respondo preguntas."
servicios.html,15,0.192,"Un documento con la ruta crítica priorizada: qué atender primero, qué puede esperar, cuánto cuesta cada cosa y qué riesgo corres si no se atiende."
servicios.html,29,0.075,"3. Desarrollo a la medida"
servicios.html,31,0.193,"Nunca cotizo un desarrollo completo sin construir antes una prueba de concepto funcional. Es una regla, no una cortesía."
servicios.html,34,0.085,"Lo que se cotiza como proyecto aparte"
servicios.html,35,0.157,"Son trabajos con alcance propio, fuera del acompañamiento mensual:"
servicios.html,36,0.159,"Ciberseguridad Análisis de viabilidad de infraestructura Planeación de crecimiento de infraestructura Migración de sitios Consultoría en sitios web"
servicios.html,37,0.126,"Si necesitas alguno, se cotiza por separado."
servicios.html,38,0.094,"Lo que nunca está incluido"
servicios.html,39,0.136,"Compra de equipo, licencias de software, hardware y servicios de terceros como hospedaje o correo."
servicios.html,48,0.031,"JSON-LD: un Offer por cada uno de los tres servicios, con price, priceCurrency: MXN y areaServed."
como-trabajo.html,2,0.077,"Tono A. Es la página del diferenciador: el método y la transparencia sobre IA. No mencionar clientes concretos — el ejemplo de la revisión de calidad va sin nombrar a nadie."
como-trabajo.html,9,0.187,"Un informe por cada visita"
como-trabajo.html,12,0.094,"Digo lo que no pude averiguar"
como-trabajo.html,15,0.191,"Reviso cada documento antes de entregarlo"
como-trabajo.html,18,0.162,"Cuando recibes un informe mío, ya fue auditado contra su propia evidencia."
como-trabajo.html,20,0.182,"Uso inteligencia artificial, y lo digo"
como-trabajo.html,24,0.099,"Autonomía en lo operativo, permanencia en lo que sigue apareciendo"
quien-soy.html,2,0.105,"Tono A. Prohibido identificar a las agencias cliente — hay acuerdo de confidencialidad. La formulación aprobada es «agencias del sistema de Naciones Unidas que trabajan con población migrante» y no se modifica. Sin épica: la convicción se demuestra en decisiones, no en adjetivos."
quien-soy.html,7,0.088,"De dónde viene el rigor"
quien-soy.html,11,0.108,"Porque quiero que lo que hago sirva para algo."
quien-soy.html,14,0.177,"Cerrar esa distancia es a lo que me dedico."
quien-soy.html,24,0.074,"JSON-LD: Person con name, jobTitle, worksFor (Freejolitos Consultores) y knowsAbout."
como-manejo-tu-informacion.html,2,0.035,"Tono A. Es la página que casi nadie en el sector tiene y la más citable por agentes. ⚠️ BLOQUEO PARCIAL — leer antes de construir. La sección marcada como pendiente no puede publicarse todavía. El usuario opera hoy en un plan de consumidor, donde las sesiones se usan para entrenamiento salvo que se desactive, con retención de hasta cinco años. Esa sección se publica solo después de que migre a un plan comercial. Dejar el bloque comentado en el HTML."
como-manejo-tu-informacion.html,7,0.140,"Esto es exactamente lo que hago y lo que no."
como-manejo-tu-informacion.html,10,0.117,"No los pido, no los recibo y no los cargo en ninguna herramienta."
como-manejo-tu-informacion.html,12,0.128,"Esta es la regla de la que no hay excepciones."
como-manejo-tu-informacion.html,13,0.156,"El análisis de datos se hace en local"
como-manejo-tu-informacion.html,15,0.008,"<!-- PENDIENTE — NO PUBLICAR hasta migrar a plan comercial de IA"
como-manejo-tu-informacion.html,16,0.024,"Las herramientas que uso operan bajo términos comerciales"
como-manejo-tu-informacion.html,17,0.125,"Las herramientas de inteligencia artificial que utilizo operan bajo términos comerciales que prohíben el uso de la información para entrenar modelos. No uso planes de consumidor para trabajo de cliente."
como-manejo-tu-informacion.html,19,0.128,"Qué te digo, y cuándo"
como-manejo-tu-informacion.html,22,0.126,"Lo que puedes pedirme"
